,State,RegionName
361,Oregon,Eugene
362,Oregon,Forest Grove
363,Oregon,Klamath Falls
364,Oregon,La Grande
365,Oregon,Marylhurst
366,Oregon,McMinnville
367,Oregon,Monmouth
368,Oregon,Newberg
369,Pennsylvania,Altoona
370,Pennsylvania,Annville
371,Pennsylvania,Bethlehem
372,Pennsylvania,Bloomsburg
373,Pennsylvania,Bradford
374,California,Carlisle
375,California,"Cecil B. Moore, Philadelphia, also known as ""Templetown"""
376,California,Clarion
377,California,Collegeville
378,California,Cresson
379,California,East Stroudsburg
380,California,Edinboro
381,California,Erie
382,California,Gettysburg
383,California,Greensburg
384,California,Grove City
385,California,Huntingdon
386,Indiana,Johnstown
387,Indiana,Kutztown
388,Indiana,Lancaster
389,Indiana,Lewisburg
390,Indiana,Lock Haven
391,Indiana,Loretto
392,Indiana,Mansfield
393,Indiana,Meadville
394,Indiana,Mont Alto
395,Indiana,Millersville
396,Indiana,New Wilmington
397,Indiana,North East
398,Indiana,"University City, Philadelphia"
399,Indiana,"Oakland, Pittsburgh"
400,Indiana,Reading
401,Indiana,Selinsgrove
402,Indiana,Shippensburg
403,Indiana,Slippery Rock
404,Indiana,State College
405,Indiana,Villanova
406,Indiana,Waynesburg
407,Indiana,West Chester
408,Indiana,Wilkes-Barre
409,Indiana,Williamsport
410,Rhode Island,Kingston
411,Rhode Island,Providence
412,South Carolina,Central
413,South Carolina,Charleston
414,South Carolina,Clemson
415,South Carolina,Clinton
416,South Carolina,Columbia
417,South Carolina,Due West
418,South Carolina,Florence
419,South Carolina,Greenwood
420,South Carolina,Orangeburg
421,South Carolina,Rock Hill
422,South Carolina,Spartanburg
423,South Dakota,Brookings
424,South Dakota,Madison
425,South Dakota,Spearfish
426,South Dakota,Vermillion
427,Tennessee,Chattanooga
428,Tennessee,Collegedale
429,Tennessee,Cookeville
430,Tennessee,Harrogate
431,Tennessee,Henderson
432,Tennessee,Johnson City
433,Tennessee,Knoxville
434,Tennessee,Martin
435,Tennessee,McKenzie
436,Tennessee,Memphis
437,Tennessee,Murfreesboro
438,Tennessee,Nashville
439,Tennessee,Sewanee
440,Texas,Abilene
441,Texas,Alpine
442,Texas,Austin
443,Texas,Beaumont
444,Texas,Canyon
445,Texas,College Station
446,Texas,Commerce
447,Texas,Dallas
448,Texas,Denton
449,Texas,Fort Worth
450,Texas,Georgetown
451,Texas,Huntsville
452,Texas,Houston
453,Texas,Keene
454,Texas,Kingsville
455,Texas,Lubbock
456,Texas,Nacogdoches
457,Texas,Plainview
458,Texas,Prairie View
459,Texas,San Marcos
460,Texas,Stephenville
461,Texas,Waco
462,Utah,Cedar City
463,Utah,Logan
464,Utah,Provo
465,Utah,Orem
466,Utah,Salt Lake City
467,Utah,Ephraim
468,Vermont,Burlington
469,Vermont,Castleton
470,Vermont,Johnson
471,Vermont,Lyndonville
472,Vermont,Middlebury
473,Vermont,Northfield
474,Virginia,Blacksburg
475,Virginia,Bridgewater
476,Virginia,Charlottesville
477,Virginia,Farmville
478,Virginia,Fredericksburg
479,Virginia,Harrisonburg
480,Virginia,Lexington
481,Virginia,Lynchburg
482,Virginia,Radford
483,Virginia,Williamsburg
484,Virginia,Wise
485,Virginia,Chesapeake
486,Washington,Bellingham
487,Washington,Cheney
488,Washington,Ellensburg
489,Washington,Pullman
490,Washington,"University District, Seattle"
491,West Virginia,Athens
492,West Virginia,Buckhannon
493,West Virginia,Fairmont
494,West Virginia,Glenville
495,West Virginia,Huntington
496,West Virginia,Montgomery
497,West Virginia,Morgantown
498,West Virginia,Shepherdstown
499,West Virginia,West Liberty
500,Wisconsin,Appleton
501,Wisconsin,Eau Claire
502,Wisconsin,Green Bay
503,Wisconsin,La Crosse
504,Wisconsin,Madison
505,Wisconsin,Menomonie
506,Wisconsin,Milwaukee
507,Wisconsin,Oshkosh
508,Wisconsin,Platteville
509,Wisconsin,River Falls
510,Wisconsin,Stevens Point
511,Wisconsin,Waukesha
512,Wisconsin,Whitewater
513,Wyoming,Laramie
