Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
0.974205471,-0.4%,1.2%,20,42.9%,25.0%,20,-13.0%,-25.9%,97,-3.5,63.5,$330K,37.1%,26.1%,22,0.0%,-26.7%,3/31/2012,Single Family Residential,"Seattle, WA - Arbor Heights"
0.992009935,1.1%,2.5%,74,39.6%,23.3%,34,70.0%,-17.1%,25,-18,-17.5,$438K,13.2%,9.6%,88,72.5%,0.0%,3/31/2012,Single Family Residential,"Seattle, WA - Ballard"
0.957097563,0.3%,0.9%,9,-10.0%,28.6%,4,-42.9%,-66.7%,33,-29.5,-9,$238K,-7.3%,-22.1%,10,11.1%,-23.1%,3/31/2012,Single Family Residential,"Seattle, WA - Bitter Lake"
0.946757327,-0.6%,-2.3%,14,-17.6%,-22.2%,28,16.7%,47.4%,61,11,8,$468K,6.3%,0.7%,24,84.6%,0.0%,3/31/2012,Single Family Residential,"Seattle, WA - North Beach / Blue Ridge"
0.984415834,1.0%,4.9%,25,8.7%,78.6%,16,6.7%,-11.1%,62.5,-10.5,-57.5,$470K,13.8%,0.0%,27,42.1%,22.7%,3/31/2012,Single Family Residential,"Seattle, WA - Broadview"
0.988979019,0.9%,0.7%,9,0.0%,80.0%,5,25.0%,-37.5%,17,0,9,$425K,0.6%,-4.5%,12,50.0%,-7.7%,3/31/2012,Single Family Residential,"Seattle, WA - Bryant"
0.966877199,-3.6%,2.7%,11,57.1%,120.0%,27,58.8%,107.7%,60,12,18,$285K,0.0%,-10.4%,29,123.1%,141.7%,3/31/2012,Single Family Residential,"Seattle, WA - Columbia City"
0.974770370,-0.4%,-0.8%,9,-25.0%,-10.0%,6,-14.3%,-60.0%,33.5,-14.5,0.5,$410K,2.5%,22.8%,15,66.7%,7.1%,3/31/2012,Single Family Residential,"Seattle, WA - Crown Hill"
0.970892208,-1.1%,0.5%,51,-12.1%,18.6%,81,8.0%,-31.9%,106,31,25,$190K,-2.9%,-13.7%,79,36.2%,-23.3%,3/31/2012,Single Family Residential,"Seattle, WA - Delridge"
0.934113060,0.0%,-2.6%,2,0.0%,0.0%,,,,86.5,0,-97.5,$540K,0.0%,15.0%,1,0.0%,-50.0%,3/31/2012,Single Family Residential,"Seattle, WA - Eastlake"
0.977350510,0.9%,2.7%,15,25.0%,-21.1%,12,0.0%,-36.8%,56,20.5,-26,$350K,2.9%,-12.5%,17,30.8%,-5.6%,3/31/2012,Single Family Residential,"Seattle, WA - Fauntleroy"
0.976127742,0.8%,-0.4%,13,-13.3%,8.3%,4,-33.3%,-55.6%,33.5,1.5,9.5,$450K,3.4%,33.3%,13,18.2%,0.0%,3/31/2012,Single Family Residential,"Seattle, WA - Fremont"
0.974964043,0.4%,-1.8%,12,20.0%,20.0%,7,16.7%,-53.3%,25.5,-22,-39,$444K,4.1%,-10.9%,19,111.1%,-9.5%,3/31/2012,Single Family Residential,"Seattle, WA - Green Lake"
1.004227975,0.7%,3.5%,30,36.4%,11.1%,19,-5.0%,-36.7%,22.5,-22.5,-16.5,$396K,3.5%,13.1%,37,15.6%,-2.6%,3/31/2012,Single Family Residential,"Seattle, WA - Greenwood"
0.947895110,-1.9%,-1.7%,13,-7.1%,8.3%,16,0.0%,-15.8%,61,-10.5,-5,$228K,-21.4%,-2.6%,22,83.3%,10.0%,3/31/2012,Single Family Residential,"Seattle, WA - Haller Lake"
0.969634870,0.5%,-0.1%,40,-13.0%,-21.6%,40,-14.9%,-46.7%,69.5,9,7.5,$349K,10.0%,7.5%,52,30.0%,-27.8%,3/31/2012,Single Family Residential,"Seattle, WA - Lake City"
0.973500014,1.9%,4.4%,11,-8.3%,-21.4%,25,0.0%,-10.7%,148,55.5,45,$577K,-0.8%,-7.1%,28,33.3%,12.0%,3/31/2012,Single Family Residential,"Seattle, WA - Leschi"
0.871105795,-12.4%,-2.9%,2,100.0%,-50.0%,,,,111,107,-23.5,"$2,323K",145.8%,225.0%,1,-50.0%,-75.0%,3/31/2012,Single Family Residential,"Seattle, WA - Lower Queen Anne"
0.914573796,1.3%,-3.0%,11,-21.4%,-8.3%,34,47.8%,-12.8%,127,-1,-86.5,"$1,350K",16.3%,10.7%,31,72.2%,82.4%,3/31/2012,Single Family Residential,"Seattle, WA - Madison Park"
0.959633280,-1.0%,2.0%,10,-28.6%,25.0%,15,0.0%,-28.6%,107.5,31.5,91.5,$704K,21.7%,-0.4%,11,10.0%,-35.3%,3/31/2012,Single Family Residential,"Seattle, WA - Madrona"
0.982085780,1.1%,2.6%,44,-13.7%,10.0%,60,15.4%,-9.1%,32.5,-14.5,-51,$515K,8.3%,-3.5%,69,35.3%,3.0%,3/31/2012,Single Family Residential,"Seattle, WA - Magnolia"
0.988056866,0.3%,3.7%,26,62.5%,44.4%,20,17.6%,11.1%,17,-10,-75.5,$399K,-0.4%,2.7%,38,65.2%,15.2%,3/31/2012,Single Family Residential,"Seattle, WA - Maple Leaf"
0.976099162,0.1%,1.2%,18,20.0%,38.5%,10,-33.3%,-60.0%,37,-38,-22,$492K,41.2%,25.4%,20,25.0%,-9.1%,3/31/2012,Single Family Residential,"Seattle, WA - Matthews Beach"
0.929411765,-5.1%,-3.1%,1,-66.7%,-83.3%,1,0.0%,-87.5%,288,270,237.5,$395K,20.4%,30.6%,3,50.0%,-62.5%,3/31/2012,Single Family Residential,"Seattle, WA - Meadowbrook"
0.967665105,-2.0%,-0.2%,9,12.5%,28.6%,9,-35.7%,-25.0%,67,12,-45,$745K,9.4%,35.7%,15,36.4%,-11.8%,3/31/2012,Single Family Residential,"Seattle, WA - Montlake"
0.992363947,3.9%,0.3%,18,5.9%,-10.0%,27,35.0%,-22.9%,75.5,2.5,29.5,$429K,1.4%,-16.3%,30,100.0%,-6.3%,3/31/2012,Single Family Residential,"Seattle, WA - Mount Baker"
0.977143130,0.4%,-0.2%,25,38.9%,-7.4%,29,-12.1%,-35.6%,55.5,-23.5,22.5,$475K,-1.3%,25.1%,40,66.7%,-25.9%,3/31/2012,Single Family Residential,"Seattle, WA - North Admiral"
0.984858683,1.7%,3.0%,40,-20.0%,-11.1%,72,-2.7%,-29.4%,33,-28,-37,$240K,-1.8%,-7.7%,84,27.3%,6.3%,3/31/2012,Single Family Residential,"Seattle, WA - Beacon Hill"
0.976645577,0.0%,1.8%,55,31.0%,25.0%,47,9.3%,-20.3%,27,-22,-70,$350K,0.0%,8.5%,77,54.0%,1.3%,3/31/2012,Single Family Residential,"Seattle, WA - Northgate"
0.978576992,1.6%,2.1%,6,-33.3%,-62.5%,13,18.2%,-23.5%,91.5,22.5,31.5,$235K,4.4%,-7.6%,11,57.1%,-26.7%,3/31/2012,Single Family Residential,"Seattle, WA - Olympic Hills"
0.945656216,-0.3%,-2.9%,5,-16.7%,66.7%,5,66.7%,-58.3%,194,69,120,$233K,-38.7%,-8.6%,8,100.0%,-38.5%,3/31/2012,Single Family Residential,"Seattle, WA - Pinehurst"
0.980692049,1.2%,1.0%,39,14.7%,39.3%,43,7.5%,-28.3%,27,-40,-30.5,$634K,5.7%,0.6%,64,42.2%,20.8%,3/31/2012,Single Family Residential,"Seattle, WA - Queen Anne"
0.960374282,0.0%,-1.7%,106,12.8%,26.2%,177,6.6%,-12.4%,63,0,-28,$249K,7.4%,-12.3%,181,41.4%,13.8%,3/31/2012,Single Family Residential,"Seattle, WA - Rainier Valley"
0.995303113,0.7%,1.1%,21,-22.2%,16.7%,8,-27.3%,-33.3%,6,-7,-58,$480K,6.2%,4.4%,32,60.0%,52.4%,3/31/2012,Single Family Residential,"Seattle, WA - Ravenna"
0.997804795,0.6%,0.4%,14,40.0%,7.7%,6,-33.3%,-66.7%,25.5,8,11.5,$531K,17.3%,31.9%,18,-10.0%,-33.3%,3/31/2012,Single Family Residential,"Seattle, WA - Roosevelt"
1.028474119,1.8%,3.9%,9,80.0%,50.0%,8,-11.1%,-65.2%,80,28,-59.5,$145K,0.1%,-36.3%,10,25.0%,-9.1%,3/31/2012,Single Family Residential,"Seattle, WA - South Park"
0.959081248,-1.4%,-15.2%,6,0.0%,50.0%,4,-33.3%,-50.0%,38.5,0.5,-87.5,$584K,76.2%,42.2%,8,100.0%,14.3%,3/31/2012,Single Family Residential,"Seattle, WA - University District"
0.972136898,-0.6%,-2.6%,6,-25.0%,-33.3%,7,-22.2%,-12.5%,27.5,0,-6.5,$363K,12.0%,11.5%,11,37.5%,0.0%,3/31/2012,Single Family Residential,"Seattle, WA - Victory Heights"
0.967303125,1.4%,1.0%,9,50.0%,125.0%,8,33.3%,-42.9%,56,-2,-79.5,$528K,-26.5%,5.0%,11,22.2%,-35.3%,3/31/2012,Single Family Residential,"Seattle, WA - View Ridge"
1.007017654,2.5%,2.6%,24,20.0%,0.0%,13,-18.8%,-43.5%,9,-7.5,-54,$556K,15.4%,-1.1%,33,22.2%,-26.7%,3/31/2012,Single Family Residential,"Seattle, WA - Wallingford"
0.969251655,-0.6%,-0.9%,15,-6.3%,15.4%,6,20.0%,-72.7%,32,2.5,3,$410K,13.1%,2.5%,15,50.0%,-51.6%,3/31/2012,Single Family Residential,"Seattle, WA - Wedgwood"
0.973531727,0.0%,0.2%,186,1.6%,7.5%,217,0.0%,-35.6%,66,3,6.5,$308K,-2.3%,-8.1%,251,31.4%,-23.0%,3/31/2012,Single Family Residential,"Seattle, WA - West Seattle"
0.978325390,0.7%,5.4%,7,-22.2%,-30.0%,10,-9.1%,-44.4%,125,40,-9.5,"$1,075K",0.0%,36.9%,17,88.9%,6.3%,3/31/2012,Single Family Residential,"Seattle, WA - Windermere"
0.962024886,-6.1%,2.9%,5,400.0%,0.0%,8,60.0%,-55.6%,50,0,-74,"$1,125K",0.0%,-2.2%,8,100.0%,-33.3%,3/31/2012,Single Family Residential,"Seattle, WA - Denny Blaine"
1.015361968,1.8%,2.2%,16,33.3%,-27.3%,9,-25.0%,-10.0%,10.5,-14.5,-2.5,$511K,3.8%,27.8%,26,52.9%,0.0%,3/31/2012,Single Family Residential,"Seattle, WA - Phinney Ridge"
0.980942444,5.9%,1.4%,12,-20.0%,-36.8%,7,0.0%,-46.2%,9.5,-81,-28.5,$359K,15.6%,-8.3%,15,66.7%,-16.7%,3/31/2012,Single Family Residential,"Seattle, WA - Central District"
0.980793683,0.3%,0.2%,10,0.0%,0.0%,14,27.3%,-22.2%,93.5,14,67.5,$535K,12.6%,20.1%,15,87.5%,-11.8%,3/31/2012,Single Family Residential,"Seattle, WA - Madison Valley"
0.978481762,0.1%,1.6%,21,31.3%,50.0%,17,-5.6%,-32.0%,67,2,-15.5,$800K,-5.0%,24.8%,22,22.2%,-15.4%,3/31/2012,Single Family Residential,"Seattle, WA - Capitol Hill"
1.006564520,1.3%,3.2%,9,0.0%,28.6%,14,-12.5%,-39.1%,30,-29,-29,$240K,6.7%,9.1%,20,33.3%,33.3%,3/31/2012,Single Family Residential,"Seattle, WA - South Beacon Hill"
0.952593846,0.3%,-4.7%,2,-50.0%,100.0%,6,50.0%,-57.1%,97,20.5,27,$263K,15.4%,110.2%,5,150.0%,-28.6%,3/31/2012,Single Family Residential,"Seattle, WA - Greater Duwamish"
1.000186655,-0.5%,4.0%,10,66.7%,0.0%,6,0.0%,-40.0%,16.5,7.5,-148,$360K,25.2%,8.9%,8,-20.0%,-20.0%,3/31/2012,Single Family Residential,"Seattle, WA - North College Park"
0.940003869,-3.5%,-3.6%,12,-14.3%,33.3%,15,-21.1%,-31.8%,92,38,53,$180K,0.0%,-30.8%,13,30.0%,-31.6%,3/31/2012,Single Family Residential,"Seattle, WA - Dunlap"
